Zone,Disponibilité intérieure volailles,Importations - Quantité,Disponibilité de protéines en quantité (g/personne/jour),Ratio importation volailles / disponibilité interieure volailles,Population 2017,Pop_evo,pib 2017,Evolution pib,Stabilité 2017
Afghanistan,57.0,29.0,0.54,0.5087719298245614,36296113.0,0.1247776660558025,2058.4,-0.02745098039215682,-2.8
Afrique du Sud,2118.0,514.0,14.11,0.24268177525967893,57009756.0,0.06188886530160562,13860.3,-0.014630921150852126,-0.28
Albanie,47.0,38.0,6.26,0.8085106382978723,2884169.0,-0.006757031328023065,12771.0,0.12407911066515283,0.38
Algérie,277.0,2.0,1.97,0.007220216606498195,41389189.0,0.0851873274799539,11737.4,0.036955234956842796,-0.92
Allemagne,1739.0,842.0,7.96,0.484186313973548,82658409.0,0.018282150571004775,53071.5,0.06240316129574697,0.59
Angola,319.0,277.0,3.6,0.8683385579937304,29816766.0,0.1461030518361144,7310.9,-0.10198742200167055,-0.38
Antigua-et-Barbuda,7.0,7.0,17.77,1.0,95426.0,0.0427247694392237,19840.3,0.12453593756199313,0.75
Arabie saoudite,1435.0,722.0,15.57,0.5031358885017422,33101178.999999996,0.1014612675956744,47306.2,-0.011331622373997968,-0.64
Argentine,1962.0,8.0,13.53,0.004077471967380225,43937140.0,0.04126241260137507,23597.1,-0.03385999893547766,0.17
Arménie,47.0,35.0,5.44,0.7446808510638298,2944791.0,0.016290445708637656,12115.1,0.13317370198198547,-0.62
Australie,1171.0,16.0,16.6,0.013663535439795047,24584620.0,0.057179616195510964,48398.5,0.03538162696867663,0.9
Autriche,173.0,110.0,7.49,0.6358381502890174,8819901.0,0.030821198549961848,54173.0,0.022174505356826076,1.05
Azerbaïdjan,129.0,27.0,4.45,0.20930232558139536,9845320.0,0.04899617152815384,14121.4,-0.036193752260829874,-0.75
Bahamas,26.0,24.0,14.61,0.9230769230769231,381755.0,0.03972557596093356,35911.7,0.010754413221651766,0.99
Bangladesh,250.0,0.0,0.47,0.0,159685424.0,0.04532562011174833,4894.6,0.23432692792656484,-1.26
Barbade,17.0,2.0,15.33,0.11764705882352941,286232.0,0.006809803866392899,15800.4,0.04742459396751738,0.97
Belgique,152.0,338.0,4.57,2.223684210526316,11419748.0,0.023824528023959776,50442.3,0.046420880994759925,0.43
Belize,19.0,0.0,8.26,0.0,375769.0,0.08693287823785498,7140.9,0.008117570658158511,0.04
Bolivie (État plurinational de),429.0,1.0,11.43,0.002331002331002331,11192855.0,0.06170126528391075,8423.7,0.131533346766069,-0.28
Bosnie-Herzégovine,55.0,10.0,5.66,0.18181818181818182,3351525.0,-0.05393797673238292,13753.8,0.1730019700988461,-0.35
Botswana,7.0,3.0,1.19,0.42857142857142855,2205080.0,0.06910481598488867,15948.0,0.02246499461455606,1.02
Brésil,9982.0,3.0,15.68,0.00030054097375275494,207833823.0,0.03381441122817894,14524.6,-0.08102396679573813,-0.47
Bulgarie,157.0,108.0,8.74,0.6878980891719745,7102444.0,-0.025739606984168,21469.9,0.13530677750104453,0.33
Burkina Faso,46.0,0.0,0.77,0.0,19193234.0,0.12420053318776056,2044.4,0.08525321159358751,-0.93
Bélarus,265.0,21.0,9.41,0.07924528301886792,9450231.0,0.002835993312892289,18356.1,-0.023892073553341213,-0.05
Bénin,161.0,123.0,4.98,0.7639751552795031,11175198.0,0.1170069820945204,3044.5,0.05825715179533522,0.03
Cabo Verde,10.0,12.0,6.52,1.2,537498.0,0.05031773450995423,6643.2,0.050574058259796974,0.77
Cambodge,38.0,10.0,0.74,0.2631578947368421,16009409.0,0.06542361768660504,3928.4,0.23074031141326481,0.09
Cameroun,82.0,0.0,1.07,0.0,24566073.0,0.11273025580037112,3665.1,0.08663168193542643,-1.1
Canada,1433.0,182.0,13.86,0.1270062805303559,36732095.0,0.0406716207327815,48317.2,0.034523218170295,1.1
Chili,672.0,155.0,12.21,0.23065476190476192,18470439.0,0.051158503365704315,24411.5,0.02023203523993407,0.42
Chine - RAS de Hong-Kong,280.0,907.0,22.26,3.2392857142857143,7306322.0,0.030688505127399936,59842.2,0.08351680982661469,0.83
Chine - RAS de Macao,19.0,23.0,11.9,1.2105263157894737,622585.0,0.07830826572816153,126144.0,-0.22119872570567753,1.43
Chypre,38.0,14.0,9.58,0.3684210526315789,1179678.0,0.03130786298395103,38288.0,0.14687953990624392,0.54
Colombie,1643.0,78.0,9.57,0.04747413268411443,48909839.0,0.051926452312270305,14171.3,0.05830999589261038,-0.77
Congo,110.0,104.0,7.45,0.9454545454545454,5110695.0,0.10555010186550812,4234.7,-0.20578030345655393,-0.53
Costa Rica,134.0,17.0,7.93,0.12686567164179105,4949954.0,0.04383009493459337,20347.0,0.115943618713322,0.61
Croatie,45.0,24.0,4.06,0.5333333333333333,4182857.0,-0.021919525753881938,27154.1,0.12870254137951098,0.69
Côte d'Ivoire,65.0,7.0,0.86,0.1076923076923077,24437470.0,0.10639346120774898,4830.8,0.21934474228885859,-1.09
Danemark,167.0,133.0,12.97,0.7964071856287425,5732274.0,0.01669503001430433,55356.7,0.07531959447778028,0.87
Djibouti,3.0,3.0,0.92,1.0,944099.0,0.06884012439813295,4905.0,0.21675927763445133,-0.74
Dominique,4.0,4.0,11.52,1.0,71458.0,0.00622394953249962,11341.3,-0.028257833451859813,1.2
El Salvador,131.0,16.0,6.25,0.12213740458015267,6388126.0,0.019478875914249363,8454.1,0.07115616091225851,-0.26
Espagne,1497.0,205.0,12.47,0.13694054776219106,46647428.0,-0.006032892643183112,39528.9,0.11752898503606003,0.28
Estonie,29.0,21.0,7.27,0.7241379310344828,1319390.0,0.0002486615488886815,33821.9,0.14553041310613693,0.65
Eswatini,7.0,2.0,2.23,0.2857142857142857,1124805.0,0.03492868795216971,8408.0,0.02789799261595636,-0.27
Fidji,26.0,3.0,9.44,0.11538461538461539,877459.0,0.0136909547970906,13429.3,0.1749888444611656,0.62
Finlande,111.0,16.0,7.87,0.14414414414414414,5511371.0,0.013309292069729247,47570.1,0.04945001610462269,1.08
Fédération de Russie,4556.0,226.0,10.44,0.04960491659350307,145530082.0,0.008346643009577622,25926.4,-0.015418267989245187,-0.64
Gabon,78.0,76.0,10.59,0.9743589743589743,2064822.9999999998,0.136346901139251,15006.8,-0.021861271525596162,-0.1
Gambie,8.0,16.0,1.24,2.0,2213889.0,0.12740004644265562,2072.6,-0.02758750117293806,-0.08
Ghana,211.0,151.0,2.26,0.7156398104265402,29121465.0,0.0944773579172452,5115.9,0.07271812291627336,0.09
Grenade,8.0,7.0,15.5,0.875,110874.0,0.02499768882314869,16217.5,0.20777354106467272,1.01
Grèce,178.0,79.0,6.32,0.4438202247191011,10569450.0,-0.01592570178297093,28604.9,0.028549957031235952,-0.07
Guatemala,357.0,129.0,6.11,0.36134453781512604,16914970.0,0.08458383966571549,8322.2,0.07603987535718446,-0.65
Guinée,50.0,37.0,1.42,0.74,12067519.0,0.10784189250585971,2417.8,0.18793298285265084,-0.7
Guinée-Bissau,4.0,4.0,0.74,1.0,1828145.0,0.10913966588907655,1925.2,0.08737644733126237,-0.5
Guyana,32.0,0.0,12.33,0.0,775222.0,0.0209894835272658,12005.4,0.07986507758039124,-0.04
Géorgie,61.0,51.0,5.19,0.8360655737704918,4008716.0,-0.009876007144019804,13589.7,0.15754550642669146,-0.37
Haïti,98.0,89.0,2.75,0.9081632653061225,10982366.0,0.05592819696798532,3153.3,0.03119788089865597,-0.67
Honduras,205.0,12.0,6.98,0.05853658536585366,9429013.0,0.07165886175642476,5562.0,0.08770900557348196,-0.56
Hongrie,266.0,58.0,9.8,0.21804511278195488,9729823.0,-0.010585805888453708,29501.1,0.16404076752802463,0.81
Inde,3661.0,0.0,0.75,0.0,1338676785.0,0.04515362109908738,6182.9,0.2831586593338175,-0.76
Indonésie,2323.0,1.0,2.42,0.00043047783039173483,264650963.0,0.051014238552168356,10935.6,0.1563497938035318,-0.5
Iran (République islamique d'),2220.0,6.0,9.8,0.002702702702702703,80673883.0,0.05480929025865336,15883.4,0.09704868665520126,-0.93
Iraq,566.0,470.0,5.37,0.8303886925795053,37552781.0,0.13257304253544872,10526.4,0.03502389333543086,-2.31
Irlande,128.0,99.0,11.6,0.7734375,4753279.0,0.02986877472959155,77749.2,0.45500752307450465,1.0
Islande,10.0,2.0,12.33,0.2,334393.0,0.022024102424607214,55638.5,0.10902813905881562,1.35
Israël,636.0,0.0,27.87,0.0,8243848.0,0.06580704115314065,39121.3,0.07407641283577517,-0.89
Italie,1173.0,97.0,7.83,0.08269394714407502,60673701.0,0.008424425883829996,41581.1,0.03260645523379549,0.31
Jamaïque,152.0,31.0,15.71,0.20394736842105263,2920848.0,0.021735662774004506,9600.1,0.01828653860432551,0.31
Japon,2415.0,1069.0,7.24,0.4426501035196687,127502725.0,-0.006324085967261854,41444.2,0.04737475233512592,1.11
Jordanie,275.0,64.0,10.1,0.23272727272727273,9785843.0,0.14871023923865098,10003.6,-0.03949149775801969,-0.45
Kazakhstan,331.0,174.0,6.18,0.525679758308157,18080019.0,0.061899140009433855,24863.0,0.04815183299045567,0.03
Kenya,35.0,0.0,0.23,0.0,50221142.0,0.10327686648199612,4203.6,0.08125626977390245,-1.13
Kirghizistan,32.0,25.0,1.08,0.78125,6189733.0,0.07998704657562168,5046.7,0.0896705099969772,-0.38
Kiribati,2.0,1.0,6.65,0.5,114158.0,0.058096209101863014,2069.1,0.019562432245983943,0.88
Koweït,189.0,137.0,15.87,0.7248677248677249,4056099.0,0.15021739031799217,50855.6,-0.13797346911793126,-0.05
Lesotho,17.0,15.0,2.72,0.8823529411764706,2091534.0,0.03105894416153576,2668.3,0.02073371332389743,-0.19
Lettonie,41.0,43.0,7.22,1.048780487804878,1951097.0,-0.045898275611663285,28673.6,0.16013707886080497,0.46
Liban,73.0,13.0,3.9,0.1780821917808219,6819373.0,0.15328050529830595,15953.7,-0.0851973967143553,-1.63
Libéria,50.0,48.0,3.74,0.96,4702226.0,0.10683999892663804,1564.2,-0.08252683441844098,-0.33
Lituanie,82.0,44.0,9.74,0.5365853658536586,2845414.0,-0.05434482776956888,33761.9,0.18094022176361543,0.78
Luxembourg,11.0,11.0,7.19,1.0,591910.0,0.09095768209967567,114986.0,0.017116168808767724,1.33
Macédoine du Nord,41.0,40.0,7.01,0.975609756097561,2081996.0,0.0028558808554830298,15706.4,0.11322640319231124,-0.25
Madagascar,82.0,0.0,0.97,0.0,25570512.0,0.11363738610977482,1584.4,0.034338686512599643,-0.3
Malaisie,1621.0,68.0,12.95,0.041949413942011106,31104646.0,0.05550671125646505,26661.5,0.16650405365791757,0.12
Malawi,98.0,0.0,1.74,0.0,17670196.0,0.11559296296562861,1472.1,0.038079119949227844,-0.25
Maldives,12.0,12.0,4.7,1.0,496402.0,0.19444263979422166,18057.9,0.05397738879712387,0.23
Mali,52.0,1.0,0.96,0.019230769230769232,18512430.0,0.12538567211599574,2246.8,0.12610264635124305,-1.91
Malte,14.0,9.0,12.68,0.6428571428571429,437933.0,0.027647477067987595,43559.3,0.23309422168876628,1.25
Maroc,746.0,3.0,7.29,0.004021447721179625,35581255.0,0.055331843443987984,7312.1,0.07091492259699186,-0.37
Maurice,49.0,2.0,13.06,0.04081632653061224,1264499.0,0.007206169570800019,21415.1,0.15262602667470407,0.97
Mauritanie,22.0,24.0,1.59,1.0909090909090908,4282570.0,0.12182756541333124,5108.5,0.05401613468958264,-0.63
Mexique,4219.0,972.0,9.26,0.23038634747570513,124777324.0,0.050074098799684365,19721.3,0.06026214490010955,-0.8
Mongolie,9.0,10.0,0.95,1.1111111111111112,3113786.0,0.08050375617107551,11366.3,0.09593782843038,0.79
Monténégro,10.0,8.0,5.79,0.8,627563.0,0.0019446151881151136,19682.3,0.13235759448155235,-0.06
Mozambique,116.0,24.0,1.2,0.20689655172413793,28649018.0,0.12082049219594644,1283.7,0.10151021108632224,-0.93
Myanmar,1666.0,3.0,9.93,0.001800720288115246,53382523.0,0.029507852933827572,4224.5,0.26842816393934843,-1.08
Namibie,28.0,29.0,4.25,1.0357142857142858,2402633.0,0.07572168982604943,10171.4,0.01808682074329115,0.63
Nicaragua,138.0,6.0,6.91,0.043478260869565216,6384846.0,0.053177944189954536,6004.0,0.14068585541939774,-0.05
Niger,21.0,3.0,0.32,0.14285714285714285,21602382.0,0.16742617559687958,1163.2,0.05880211177862747,-1.27
Nigéria,202.0,0.0,0.31,0.0,190873244.0,0.11124115638934824,5190.4,-0.02602690885890689,-2.0
Norvège,102.0,2.0,7.81,0.0196078431372549,5296326.0,0.04269572227729158,64050.8,0.03509752904862721,1.17
Nouvelle-Zélande,168.0,1.0,12.02,0.005952380952380952,4702034.0,0.0406148922820881,42218.5,0.0682521488521322,1.6
Népal,58.0,0.0,0.67,0.0,27632681.0,0.026596333374484804,3565.2,0.17515986551519533,-0.61
Oman,114.0,126.0,7.38,1.105263157894737,4665928.0,0.23935416592514988,33308.5,-0.09564199820260591,0.75
Ouganda,66.0,0.0,0.51,0.0,41166588.0,0.1533027801831425,2074.7,0.0359514655215458,-0.57
Pakistan,1282.0,2.0,1.97,0.0015600624024961,207906209.0,0.08702986956982703,5091.1,0.11142401816316296,-2.41
Panama,192.0,20.0,10.34,0.10416666666666667,4106769.0,0.07074399644368899,30446.8,0.1497775730157172,0.39
Paraguay,41.0,1.0,1.8,0.024390243902439025,6867061.0,0.054803360103319716,12590.5,0.12323915390174052,0.0
Pays-Bas,372.0,608.0,8.48,1.6344086021505377,17021347.0,0.010558671231196526,55088.6,0.06677949887781008,0.92
Philippines,1521.0,249.0,4.65,0.16370808678500987,105172925.0,0.06373289061752908,8120.9,0.21820200111006097,-1.19
Pologne,1156.0,55.0,12.14,0.04757785467128028,37953180.0,-0.0053687504555068,30064.5,0.16713187081947106,0.52
Portugal,325.0,82.0,12.74,0.2523076923076923,10288527.0,-0.017616120506203568,33044.7,0.09991711852051552,1.12
Pérou,1523.0,60.0,6.71,0.03939592908732764,31444298.0,0.05609967519633826,12506.5,0.06674343227567384,-0.26
