Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5511","Production","S2734","Viande de Volailles","2013","2013","Milliers de tonnes","26","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5611","Importations - Quantité","S2734","Viande de Volailles","2013","2013","Milliers de tonnes","48","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5301","Disponibilité intérieure","S2734","Viande de Volailles","2013","2013","Milliers de tonnes","67","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2013","2013","Kcal/personne/jour","7","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5511","Production","S2734","Viande de Volailles","2013","2013","Milliers de tonnes","1679","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5611","Importations - Quantité","S2734","Viande de Volailles","2013","2013","Milliers de tonnes","356","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5301","Disponibilité intérieure","S2734","Viande de Volailles","2013","2013","Milliers de tonnes","1974","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2013","2013","Kcal/personne/jour","148","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5511","Production","S2734","Viande de Volailles","2013","2013","Milliers de tonnes","17","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5611","Importations - Quantité","S2734","Viande de Volailles","2013","2013","Milliers de tonnes","24","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5301","Disponibilité intérieure","S2734","Viande de Volailles","2013","2013","Milliers de tonnes","41","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2013","2013","Kcal/personne/jour","73","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","5511","Production","S2734","Viande de Volailles","2013","2013","Milliers de tonnes","288","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","5611","Importations - Quantité","S2734","Viande de Volailles","2013","2013","Milliers de tonnes","2","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","5301","Disponibilité intérieure","S2734","Viande de Volailles","2013","2013","Milliers de tonnes","283","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2013","2013","Kcal/personne/jour","26","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","5511","Production","S2734","Viande de Volailles","2013","2013","Milliers de tonnes","1457","I","Valeur imputée"
